,Unnamed: 0,datetime,FIC2003_valeur,LI2001_valeur,MX2001_valeur,MX2002A_valeur,MX2002B_valeur,MX2002C_valeur,MX2002D_valeur,MX2003A_valeur,MX2003B_valeur,MX2003C_valeur,temperature_ext,TI2001__2_valeur
974,6101874,2025-05-29 06:00:50,45.25587182516583,37.7195781403846,10.54022484905314,144.7604064941406,128.5059967041016,109.7044321695962,94.95999526977548,107.9499969,117.32950019836414,80.01640319824222,20.8,26.164492710585137
975,6101875,2025-05-29 06:01:00,45.25507706862227,37.72070802961071,10.53643259012475,149.52885437011724,121.6811981201172,108.0990651448569,95.3772430419922,114.6877975,119.2321014404297,79.5204849243164,20.8,26.164530809432936
976,6101876,2025-05-29 06:01:10,45.25428231207876,37.72183791883702,10.532640331196315,154.2973022460938,123.18919881184894,106.4936981201172,98.34262084960962,128.5352936,116.7406005859375,79.02456665039062,20.8,26.164568908280746
977,6101877,2025-05-29 06:01:20,45.25348755553517,37.72296780806321,10.528848072267945,146.9002990722656,124.69719950358056,110.2249984741211,101.3079986572266,123.77639770000012,114.2490997314453,81.89994049072266,20.8,26.1646070071285
978,6101878,2025-05-29 06:01:30,45.2526927989918,37.72409769728949,10.525055813339538,154.9113006591797,126.2052001953125,105.8320007324219,100.84505462646496,119.0175018,119.1939010620117,78.35698699951172,20.8,26.16464510597637
979,6101879,2025-05-29 06:01:40,45.2518980424483,37.72522758651565,10.5212635544111,153.5045928955078,120.1373977661133,114.6476974487305,100.38211059570308,124.2770996,116.46400070190418,83.95513916015625,20.8,26.164683204824147
980,6101880,2025-05-29 06:01:50,45.2511032859049,37.72635747574187,10.517471295482698,136.1473999023438,129.0305023193359,111.58993275960268,99.9191665649414,116.4901962,113.7341003417969,76.24456024169922,20.8,26.164721303671943
981,6101881,2025-05-29 06:02:00,45.250308529361256,37.72748736496818,10.51367903655431,151.1203002929688,129.60669962565103,108.53216807047544,93.26123809814452,122.2886963,115.04539871215808,80.45986938476562,20.8,26.16475940251972
982,6101882,2025-05-29 06:02:10,45.24951377281777,37.72861725419431,10.50988677762588,143.9378967285156,130.18289693196607,105.4744033813477,96.31302642822266,105.6419983,116.3566970825195,77.1791763305664,20.8,26.16479750136752
983,6101883,2025-05-29 06:02:20,45.24871901627432,37.72974714342048,10.506094518697491,147.2877044677734,130.7590942382812,109.8434982299805,95.8183085123698,115.4101486500001,113.0283966064453,80.9700927734375,20.8,26.16483560021536
984,6101884,2025-05-29 06:02:30,45.24792425973071,37.73087703264673,10.50230225976908,143.4609985351562,128.70666249593097,106.8394012451172,95.3235905965169,125.178299,117.1817016601562,80.31204732259123,20.8,26.16487369906307
985,6101885,2025-05-29 06:02:40,45.24712950318729,37.73200692187298,10.498510000840684,158.1358947753906,126.65423075358083,112.9549026489258,94.82887268066406,127.6149979,111.9458999633789,79.65400187174478,20.8,26.164911797910904
986,6101886,2025-05-29 06:02:50,45.2463347466437,37.73313681109927,10.494717741912256,148.92089843750003,124.6017990112305,108.353401184082,101.8026962280273,122.28865055000011,120.7484970092773,78.99595642089844,20.8,26.16494989675874
987,6101887,2025-05-29 06:03:00,45.24553999010025,37.73426670032546,10.490925482983872,139.7059020996094,132.0883026123047,111.36645126342788,95.51432800292967,116.9623032,118.7663981119792,81.68058776855469,20.8,26.164987995606506
988,6101888,2025-05-29 06:03:10,45.244745233556806,37.73539658955165,10.487133224055436,141.2019958496094,124.5719985961914,114.3795013427734,99.83573150634766,114.0821991,116.78429921468096,80.59338226318366,20.8,26.165026094454326
989,6101889,2025-05-29 06:03:20,45.24395047701326,37.73652647877786,10.483340965127033,150.4647064208984,129.6147003173828,112.28536732991554,95.4428024291992,119.1415024,114.8022003173828,79.50617675781253,20.8,26.1650641933021
990,6101890,2025-05-29 06:03:30,45.24315572046978,37.73765636800413,10.479548706198624,153.9039001464844,128.87061691284185,110.19123331705718,91.04987335205078,118.9936981,118.168701171875,78.41897125244128,20.8,26.165102292149893
991,6101891,2025-05-29 06:03:40,45.24236096392619,37.7387862572303,10.475756447270212,145.3504943847656,128.12653350830087,108.0970993041992,97.24886322021484,112.0603027,117.09263356526708,77.3317657470703,20.8,26.16514039099764
992,6101892,2025-05-29 06:03:50,45.24156620738278,37.739916146456565,10.471964188341817,143.2821960449219,127.3824501037599,107.39573160807284,97.41814117431618,127.9153976,116.0165659586588,76.24456024169922,20.8,26.165178489845463
993,6101893,2025-05-29 06:04:00,45.2407714508393,37.74104603568276,10.46817192941341,156.0556945800781,126.63836669921884,106.69436391194658,97.58741912841803,121.7259979,114.9404983520508,83.08251190185547,20.8,26.165216588693287
994,6101894,2025-05-29 06:04:10,45.23997669429567,37.742175924908985,10.464379670485007,147.8361053466797,125.89428329467772,105.9929962158203,97.7566970825196,119.9402008,114.84673309326176,79.0960922241211,20.8,26.165254687541065
